Periodo,Total_Mensual,Total_Anual,Primarias_Mensual,Primarias_Anual,Secundarias_Mensual,Secundarias_Anual,Terciarias_Mensual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual
feb-21,-0.27,-3.34,-2.76,4.01,-1.06,-3.22,0.08,-4.04,-1.57,-28.66,-2.14,-1.53,1.13,-2.75,-14.06,-8.55,1.99,6.4,-1.19
mar-21,1.6,1.82,0.14,-3.18,2.26,2.4,1.67,1.86,-1.15,-23.41,-3.51,7.08,6.4,-2.71,0.99,-3.12,1.82,6.74,-3.2
abr-21,-0.17,25.23,1.24,1.35,-0.16,36.79,-0.33,21.26,6.57,-24.25,52.44,47.41,20.78,48.13,52.63,-1.76,7.48,5.39,1.02
may-21,0.02,27.69,2.81,5.73,-0.53,36.33,0.39,24.94,12.33,-14.78,49.51,44.96,36.77,47.93,65.27,-0.05,7.05,12.67,-2.8
jun-21,-0.17,13.96,3.44,9.93,-0.2,11.83,-0.29,15.4,5.65,-16.16,17.63,14.53,18.37,16.0,36.61,0.76,6.17,17.45,-2.03
jul-21,-0.27,8.14,-1.94,-1.06,0.24,7.33,-0.45,9.3,4.07,-19.14,16.87,8.13,15.07,4.62,27.83,1.49,5.54,5.8,-3.05
ago-21,-0.81,4.2,-3.18,1.17,0.35,3.77,-1.64,4.53,1.97,-27.5,11.12,5.02,1.12,10.0,21.18,1.33,5.94,3.0,-0.94
sep-21,-0.21,1.27,-2.67,-4.81,-1.02,0.26,0.38,2.13,3.77,-25.5,12.04,-1.01,4.38,5.96,12.46,-0.3,5.73,7.39,-3.18
oct-21,0.67,0.87,0.81,-4.72,1.03,-0.03,0.55,1.63,2.55,-23.76,4.8,0.41,4.11,1.96,14.08,-0.54,5.33,-0.68,1.18
nov-21,0.63,0.73,4.93,6.03,0.52,0.09,0.5,0.9,3.41,-21.85,0.09,1.42,3.49,3.41,13.95,-0.35,3.62,0.8,-3.57
dic-21,0.56,1.61,-1.33,6.82,1.3,1.89,0.2,1.08,3.15,-16.31,4.07,2.43,2.07,5.34,17.44,3.07,4.17,-0.74,-1.53
ene-22,0.64,2.22,-0.72,0.41,1.26,4.0,0.13,1.15,7.26,-2.16,5.05,3.69,0.86,6.99,14.87,0.98,3.79,-2.57,-0.45
feb-22,0.44,2.96,-4.97,-1.88,-0.08,5.03,1.02,2.1,0.56,-0.09,2.8,7.09,7.53,7.5,18.6,6.93,3.3,-1.71,-1.22
mar-22,0.42,1.76,7.07,4.91,0.94,3.67,0.18,0.6,3.49,-1.13,6.27,3.07,4.49,4.75,13.45,2.39,3.43,2.96,0.3
abr-22,0.62,2.57,-1.06,2.53,0.62,4.48,0.71,1.66,3.98,2.69,6.14,4.43,6.77,8.57,14.29,2.63,2.87,2.58,-1.72
may-22,0.07,2.62,3.19,2.9,-0.22,4.8,0.13,1.39,3.04,2.9,0.74,6.3,6.09,6.61,12.15,0.93,2.8,1.47,0.86
jun-22,-0.29,2.49,-5.46,-5.95,-0.48,4.51,0.1,1.79,6.43,0.62,4.42,4.56,8.36,7.41,11.42,4.26,3.08,-1.4,-0.14
jul-22,0.68,3.47,-0.58,-4.65,0.64,4.93,0.68,2.94,4.18,1.19,3.45,5.77,6.46,6.61,10.44,2.35,2.43,4.59,5.53
ago-22,0.38,4.71,2.81,1.24,0.45,5.04,0.06,4.72,3.63,2.46,-1.81,7.16,9.99,4.7,13.8,2.67,1.89,2.04,1.4
sep-22,0.16,5.1,1.41,5.49,-0.43,5.66,0.53,4.89,1.84,3.07,-1.66,8.31,8.07,7.88,12.05,4.4,2.01,2.56,-0.44
oct-22,0.41,4.82,-1.88,2.68,0.05,4.63,0.63,4.97,3.89,-0.75,-0.75,6.68,5.49,7.69,9.12,7.45,2.15,11.03,-0.99
nov-22,0.52,4.71,9.69,7.34,1.04,5.18,-0.18,4.26,4.41,-0.79,4.87,5.84,1.94,5.25,7.37,9.0,2.9,25.42,-0.0
dic-22,0.73,4.89,-4.73,3.64,1.42,5.3,0.94,5.02,5.64,-4.88,7.43,5.25,4.97,5.2,6.87,8.48,3.47,26.22,-1.85
ene-23,0.13,4.36,-5.44,-1.29,-0.51,3.47,0.34,5.24,0.42,-1.2,5.18,3.95,7.21,5.84,8.69,12.24,2.95,4.49,4.41
feb-23,-0.48,3.4,3.84,7.87,-0.31,3.23,-0.69,3.46,7.27,-1.06,3.85,2.8,-1.07,7.03,6.5,10.22,3.0,5.24,-1.37
mar-23,-0.34,2.61,-3.7,-2.98,-0.05,2.21,-0.21,3.06,4.02,-2.54,3.47,1.83,-1.03,8.04,3.97,12.13,2.91,2.53,-2.6
abr-23,0.91,2.91,3.35,1.34,0.63,2.22,1.03,3.38,3.73,-6.76,0.4,2.81,4.3,4.94,3.17,11.45,2.73,3.85,-1.65
may-23,0.27,3.11,-1.72,-3.48,0.47,2.94,0.26,3.52,3.76,-5.6,9.92,1.63,3.14,3.21,2.92,13.66,2.62,5.96,0.0
jun-23,0.43,3.86,0.29,2.39,0.45,3.9,0.45,3.88,1.13,-2.7,13.91,2.36,-0.13,7.39,3.83,11.1,2.51,12.85,0.36
jul-23,0.23,3.39,-1.98,0.95,-0.03,3.21,0.22,3.41,-1.27,-4.82,15.14,1.8,2.75,4.99,2.42,12.88,2.36,5.2,-2.84
ago-23,0.15,3.16,1.13,-0.7,0.16,2.91,0.19,3.54,0.04,-1.17,17.85,-0.08,5.42,2.82,0.74,12.41,1.96,15.54,-1.72
sep-23,0.83,3.85,0.12,-1.97,0.64,4.02,1.08,4.11,-0.44,-1.02,20.4,1.14,7.03,3.39,2.12,11.83,1.93,10.85,3.61
oct-23,0.02,3.45,2.58,2.49,0.97,4.98,-0.76,2.67,-1.9,0.61,27.14,1.02,4.94,0.94,2.62,8.14,1.63,5.74,2.85
nov-23,-0.73,2.15,-5.09,-11.33,-1.6,2.23,0.08,2.95,-4.87,0.01,16.83,-0.04,7.07,1.12,2.92,7.09,0.97,-0.18,1.6
dic-23,0.14,1.56,5.81,-1.52,-0.07,0.73,0.41,2.41,-5.23,-2.79,13.0,-1.42,7.09,3.69,0.45,4.8,0.87,-0.67,1.49
ene-24,0.19,1.62,-13.57,-9.99,0.58,1.83,0.14,2.21,-1.69,-6.46,16.21,-0.6,2.02,1.4,2.84,3.6,1.1,24.62,-1.77
feb-24,0.35,2.47,21.49,5.31,-1.53,0.58,0.69,3.63,-4.91,-2.83,10.16,-0.57,8.47,-0.49,3.97,5.0,0.98,19.78,2.52
mar-24,0.27,3.1,-5.49,3.35,0.47,1.11,0.34,4.2,-6.92,-2.8,7.86,1.4,8.82,5.84,4.42,2.67,1.18,21.35,0.77
abr-24,-1.36,0.78,-0.09,-0.09,-0.55,-0.08,-1.56,1.53,-9.17,-3.15,11.69,-1.89,0.81,-0.89,3.89,2.65,0.77,17.92,7.1
may-24,1.01,1.52,-0.74,0.91,0.09,-0.46,1.28,2.57,-8.88,0.15,8.19,-1.52,3.86,3.58,4.28,2.29,0.88,15.59,1.98
jun-24,0.06,1.14,-0.78,-0.17,0.22,-0.69,-0.03,2.08,-10.08,-0.91,1.26,0.41,1.87,1.77,4.06,3.36,0.5,15.41,1.1
jul-24,1.23,2.15,15.51,17.65,0.66,-0.01,0.51,2.37,-6.62,-0.75,5.91,-0.37,1.18,1.87,5.26,2.52,1.07,17.4,3.06
ago-24,-1.02,0.96,-16.06,-2.35,-0.53,-0.69,-0.05,2.13,-6.09,-1.99,-0.92,0.48,-1.46,4.33,4.44,1.97,1.19,9.85,4.96
sep-24,0.27,0.39,3.53,0.97,0.61,-0.72,-0.22,0.81,-8.0,-2.77,0.18,0.68,-5.75,4.68,3.64,1.03,1.05,15.84,-0.13
oct-24,-0.99,-0.62,-2.5,-4.03,-1.8,-3.43,-0.37,1.2,-9.83,-2.77,-8.47,-0.76,-3.72,4.99,3.07,-0.56,0.96,17.46,-0.91
nov-24,0.39,0.51,1.43,2.56,0.13,-1.73,0.53,1.66,-7.58,-1.53,-4.03,-0.0,-0.75,5.12,4.43,1.03,1.23,11.72,1.58
dic-24,-1.34,-0.98,-2.91,-5.88,-1.31,-2.95,-0.63,0.61,-8.83,-2.69,-6.35,-0.64,-6.21,1.99,3.56,2.13,1.2,8.56,1.62
ene-25,1.07,-0.11,5.0,14.34,0.3,-3.21,0.6,1.07,-11.8,2.1,-7.99,-0.45,-5.57,4.58,1.12,1.53,1.94,11.89,-0.24
feb-25,0.87,0.4,-0.25,-6.12,1.72,-0.02,0.63,1.01,-10.29,0.34,0.43,1.7,-5.89,6.95,0.72,1.73,1.4,16.47,1.11
mar-25,-0.26,-0.13,4.94,4.24,-0.69,-1.18,-0.32,0.34,-10.52,-1.93,1.28,-0.66,-6.77,2.04,1.08,0.54,1.23,6.81,5.59
abr-25,0.06,1.32,-3.34,0.85,-0.13,-0.76,0.36,2.3,-7.15,1.18,-3.94,1.59,-3.84,7.55,2.19,2.78,1.86,10.53,-2.5
may-25,0.34,0.64,1.35,2.97,0.56,-0.3,-0.0,1.0,-8.22,-2.74,-1.34,1.42,-8.22,4.28,1.67,2.27,1.69,11.78,0.54
jun-25,0.04,0.62,-0.45,3.31,-0.38,-0.89,0.12,1.15,-8.27,-2.84,0.98,-0.18,-5.77,4.73,0.67,-0.03,1.97,7.82,1.97
jul-25,-0.34,-0.93,-0.39,-10.9,-1.04,-2.57,-0.1,0.54,-5.95,-2.59,-4.01,-1.61,-6.35,4.64,0.23,0.38,1.36,9.57,0.01
ago-25,0.33,0.42,9.87,16.62,-0.25,-2.3,0.47,1.05,-6.28,-1.55,-2.06,-1.72,-3.99,6.11,0.56,0.92,1.48,7.71,-2.87
sep-25,-0.46,-0.31,-4.64,7.43,-0.22,-3.1,-0.31,0.96,-3.2,-0.14,-6.6,-2.21,-1.35,1.34,0.55,1.06,1.43,6.11,1.4
oct-25,0.92,1.61,1.5,11.84,0.83,-0.52,1.0,2.36,-0.67,1.7,2.02,-1.36,0.9,4.24,1.81,3.74,1.64,6.51,2.73
nov-25,-0.26,0.95,-7.63,1.84,0.56,-0.09,-0.44,1.37,-1.05,1.05,3.05,-0.82,-3.78,5.7,-0.98,3.02,1.68,4.34,0.26
dic-25,-0.06,2.26,6.33,11.53,0.12,1.36,0.09,2.1,0.4,3.83,6.59,-0.07,0.63,4.21,1.83,2.3,1.53,4.96,2.0
