Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q05-06,0.04,,0.22,,,
Q06-06,0.19,,0.27,,,
Q07-06,0.03,,0.2,,,
Q08-06,0.05,,0.02,,,
Q09-06,-0.49,,0.07,,,
Q10-06,0.04,,0.15,,,
Q11-06,0.07,,0.18,,,
Q12-06,-0.01,,0.13,,,
Q13-06,0.23,,0.16,,,
Q14-06,0.11,,0.08,,,
Q15-06,0.3,,0.13,,,
Q16-06,0.32,,0.01,,,
Q17-06,0.6,,0.49,,,
Q18-06,0.49,,0.15,,,
Q19-06,0.28,,0.12,,,
Q20-06,-0.18,,0.1,,,
Q21-06,0.51,,0.13,,,
Q22-06,0.21,,0.17,,,
Q23-06,0.39,,0.28,,,
Q24-06,0.18,,0.06,,,
Q01-07,0.33,,0.33,,,
Q02-07,0.2,,0.22,,,
Q03-07,0.14,,0.22,,,
Q04-07,0.08,,0.12,,,
Q05-07,0.08,,0.15,,,
Q06-07,0.19,,0.2,,,
Q07-07,-0.21,,0.04,,,
Q08-07,0.11,,0.12,,,
Q09-07,-0.51,,0.1,,,
Q10-07,-0.06,,0.09,,,
Q11-07,0.08,,0.17,,,
Q12-07,0.14,,0.18,,,
Q13-07,0.25,,0.18,,,
Q14-07,0.22,,0.1,,,
Q15-07,0.2,,0.18,,,
Q16-07,0.19,,0.11,,,
Q17-07,0.62,,0.39,,,
Q18-07,0.12,,0.12,,,
Q19-07,0.32,,0.19,,,
Q20-07,0.02,,0.18,,,
Q21-07,0.64,,0.17,,,
Q22-07,0.1,,0.13,,,
Q23-07,0.2,,0.3,,,
Q24-07,0.33,,0.11,,,
Q01-08,0.27,,0.25,,,
Q02-08,0.05,,0.19,,,
Q03-08,0.13,,0.24,,,
Q04-08,0.29,,0.28,,,
Q05-08,0.48,,0.33,,,
Q06-08,0.2,,0.07,,,
Q07-08,0.06,,0.25,,,
Q08-08,0.14,,0.24,,,
Q09-08,-0.26,,0.26,,,
Q10-08,0.17,,0.23,,,
Q11-08,0.29,,0.23,,,
Q12-08,0.09,,0.2,,,
Q13-08,0.38,,0.24,,,
Q14-08,0.26,,0.13,,,
Q15-08,0.31,,0.23,,,
Q16-08,0.27,,0.26,,,
Q17-08,0.44,,0.41,,,
Q18-08,0.21,,0.12,,,
Q19-08,0.49,,0.15,,,
Q20-08,0.18,,0.19,,,
Q21-08,0.94,,0.32,,,
Q22-08,0.21,,0.18,,,
Q23-08,0.45,,0.44,,,
Q24-08,0.27,,0.18,,,
Q01-09,0.15,,0.25,,,
Q02-09,-0.1,,0.17,,,
Q03-09,0.17,,0.29,,,
Q04-09,0.2,,0.24,,,
Q05-09,0.31,,0.29,,,
Q06-09,0.33,,0.29,,,
Q07-09,0.14,,0.18,,,
Q08-09,0.09,,0.11,,,
Q09-09,-0.34,,0.13,,,
Q10-09,0.02,,0.13,,,
Q11-09,0.13,,0.15,,,
Q12-09,0.08,,0.13,,,
Q13-09,0.2,,0.21,,,
Q14-09,0.06,,0.13,,,
Q15-09,0.11,,0.11,,,
Q16-09,0.2,,0.07,,,
Q17-09,0.39,,0.32,,,
Q18-09,0.02,,0.14,,,
Q19-09,0.35,,0.18,,,
Q20-09,-0.1,,0.07,,,
Q21-09,0.53,,0.11,,,
Q22-09,0.09,,0.11,,,
Q23-09,0.25,,0.35,,,
Q24-09,0.22,,0.19,,,
Q01-10,0.75,,0.42,,,
Q02-10,0.45,,0.29,,,
Q03-10,0.18,,0.17,,,
Q04-10,0.34,,0.17,,,
