Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
ene-15,0.68,-0.34,0.91,5.04,4.2,14.53,6.33,-8.64,-0.76,-1.84,1.69,1.9,0.09,
feb-15,1.32,0.67,0.18,0.28,6.32,15.36,4.14,-2.07,-0.68,-3.05,-2.43,-0.96,1.6,
mar-15,-0.81,-1.05,1.2,0.63,4.79,2.3,12.01,2.86,-5.5,2.14,0.77,-0.13,5.18,
abr-15,0.16,-0.06,-0.06,1.96,2.22,2.96,18.73,-1.65,3.26,-0.32,0.16,2.75,6.15,
may-15,-0.01,5.08,0.62,-0.57,4.08,6.62,19.47,-2.93,-0.74,1.36,1.56,3.95,7.99,
jun-15,0.87,-3.0,-0.97,0.36,4.34,12.33,-7.95,7.98,-1.18,1.08,2.28,2.97,6.62,
jul-15,-0.03,-0.49,0.17,0.75,4.41,14.14,-8.05,7.81,-2.12,-1.15,2.27,-1.59,7.19,
ago-15,-0.1,0.59,0.23,-0.11,5.42,13.65,12.84,-0.25,-1.88,-0.73,1.51,4.88,6.56,
sep-15,0.09,0.34,-0.44,-1.34,4.1,16.22,-12.56,4.17,-0.46,1.28,0.32,3.7,6.67,
oct-15,0.47,0.68,-0.03,-0.08,1.67,14.12,-1.28,2.41,-2.87,-0.92,2.08,3.74,7.92,
nov-15,-0.35,-0.09,-0.34,-0.58,-0.43,18.56,-9.5,0.09,-1.43,-1.89,1.55,-2.81,4.59,
dic-15,0.47,-1.4,-0.93,-1.31,1.27,12.17,-19.26,-12.56,-1.96,-1.98,3.57,4.98,5.56,
ene-16,-0.29,1.39,0.56,2.86,3.54,4.49,-12.09,-5.67,-2.5,-0.49,3.28,-4.54,-0.03,
feb-16,-0.13,-0.14,1.23,1.88,10.35,2.22,2.07,3.82,1.69,-0.93,8.18,-4.63,-3.07,
mar-16,-0.05,0.1,-0.11,-1.22,7.24,4.58,-11.09,-4.57,4.22,-3.41,6.31,-3.19,-4.4,
abr-16,-0.12,-0.63,0.98,0.9,6.96,4.26,-14.43,3.49,1.83,-0.38,8.93,0.35,-8.1,
may-16,0.23,0.4,-0.6,0.9,9.2,8.71,-12.43,6.11,-1.9,-0.63,5.89,1.17,-8.92,
jun-16,-0.08,-0.86,0.67,0.18,10.42,5.82,-1.6,-1.66,-4.26,1.19,5.3,2.35,-4.94,
jul-16,-0.11,0.89,0.78,-3.22,10.08,7.65,15.92,-3.73,-2.91,-0.41,6.84,6.15,-6.17,
ago-16,-0.13,0.17,-2.29,5.8,7.9,3.26,-10.94,4.34,-2.64,-1.16,3.99,-4.48,-5.5,
sep-16,0.35,0.16,2.66,0.67,8.62,4.64,28.03,5.53,-4.82,-2.41,2.49,-5.35,0.19,
oct-16,0.27,-0.87,-0.1,0.73,6.84,5.31,17.9,-0.27,5.9,-2.1,2.16,-6.55,-4.03,
nov-16,0.04,0.15,-0.83,-7.2,10.97,-0.18,-5.74,14.61,-2.87,-1.07,1.24,-4.82,-0.62,
dic-16,-0.12,0.82,1.28,6.41,17.79,7.56,1.34,2.14,-1.25,-2.6,-0.03,8.13,-0.11,
ene-17,-0.21,-2.21,-1.16,2.33,8.49,6.01,3.86,7.94,0.87,-2.7,1.44,-2.43,-0.29,
feb-17,0.61,-1.22,0.26,-2.27,-0.3,9.82,-7.13,-2.88,-3.31,-1.31,-0.46,4.96,1.42,
mar-17,-0.26,1.57,0.27,1.31,3.71,7.31,-13.12,-0.21,-3.34,-2.45,1.86,2.36,0.59,
abr-17,-0.12,-1.75,-0.56,0.47,4.37,12.2,-7.34,-3.78,-7.34,-4.82,1.94,-1.02,2.58,
may-17,0.35,0.68,-0.38,-0.1,0.83,1.71,-6.99,1.93,0.12,-5.01,3.11,-4.82,3.61,
jun-17,0.06,-0.07,0.78,0.74,0.26,4.92,-2.37,3.3,2.69,-4.0,4.95,-12.88,-1.27,
jul-17,0.16,0.01,-1.05,0.14,0.79,2.84,-22.97,3.83,1.85,-3.28,2.02,-6.62,-3.01,
ago-17,0.17,-0.62,-0.66,-2.04,-0.97,6.45,2.58,-6.02,4.43,-5.34,3.23,-3.83,-3.95,
sep-17,-0.54,-0.6,0.98,0.31,-0.96,13.73,-19.52,-5.02,2.32,-5.48,6.07,-8.25,-10.03,
oct-17,-0.11,-0.62,-0.33,-4.03,2.26,5.7,-17.64,-0.38,-1.21,-3.4,5.58,1.61,-7.55,
nov-17,-0.27,-0.22,1.4,4.89,4.04,10.08,12.76,-8.56,1.4,-4.1,5.28,2.08,-9.25,
dic-17,2.11,0.35,-0.23,1.18,-3.53,1.34,6.42,-0.14,9.85,-1.9,3.84,-14.47,-10.62,
