Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T3-97,2.4756,8.19,-4.9407,-3.07,2.7781,10.19,2.5844,7.26,8.26,-0.77,6.9,12.52,13.32,7.99,11.4,4.94,2.6,4.55,2.47,8.37,5.49,15.83,16.59,11.18,8.52,27.23,1.82,0.66,4.66,3.07,8.52
T4-97,2.4142,7.82,5.6777,0.38,2.5651,8.5,0.1996,8.03,6.62,-3.23,3.31,11.46,16.37,10.42,11.02,5.87,2.42,4.8,2.72,8.2,5.27,12.71,13.31,8.8,7.35,24.1,2.19,1.07,2.11,2.32,3.61
T1-98,1.7016,9.12,1.6047,3.73,2.2944,10.77,-0.0182,7.99,5.54,-7.1,9.73,14.24,15.37,16.92,9.96,12.64,2.14,7.6,-1.68,9.45,1.9,18.03,22.79,-10.21,8.94,27.59,2.5,-1.18,3.89,1.93,5.23
T2-98,0.7766,7.32,-1.3357,0.71,0.5927,8.47,1.0826,6.69,3.88,-6.7,6.24,11.31,13.79,14.1,6.99,11.86,2.43,5.35,-1.67,7.56,1.2,12.34,16.6,-13.09,10.17,18.17,0.86,0.66,1.19,2.48,-0.12
T3-98,0.3597,5.67,4.3253,10.52,0.0856,5.63,-1.9289,5.52,-0.69,-6.33,5.67,8.36,10.16,10.7,6.41,11.43,2.12,5.31,-1.56,6.09,1.57,8.4,10.6,-5.96,5.87,7.8,0.43,1.03,0.98,-0.95,-1.0
T4-98,0.4022,2.96,-5.6113,-1.28,0.5349,3.54,0.1994,2.9,-0.69,-4.39,5.12,4.79,4.38,4.92,3.79,8.51,2.21,3.83,-1.48,4.59,1.65,5.39,7.59,-7.82,8.06,7.42,0.74,1.15,-0.72,4.43,3.24
T1-99,0.6558,2.28,12.7747,9.57,0.4794,1.7,0.7278,2.36,0.05,5.91,7.2,0.73,3.34,2.64,3.33,1.34,2.77,0.97,3.47,2.35,4.98,5.49,3.41,22.86,6.43,3.96,0.3,2.06,3.99,0.39,1.84
T2-99,0.8566,2.31,-12.081,-2.37,0.4535,1.56,-2.7844,2.95,-3.77,11.09,3.62,2.07,3.8,3.81,4.5,2.63,3.2,3.36,3.12,3.25,5.76,4.04,3.32,10.54,4.03,10.49,1.75,1.4,-0.2,0.17,6.15
T3-99,0.8176,2.76,4.3386,-2.35,0.2817,1.76,0.3718,3.55,-1.52,12.78,0.0,3.06,3.7,4.55,5.2,4.79,3.88,4.2,2.77,5.17,5.2,2.53,1.99,6.32,9.12,15.89,2.3,0.5,-0.48,3.91,3.83
T4-99,1.2979,3.6,-3.411,-0.08,0.8569,2.09,0.4128,4.77,-1.31,14.92,2.9,2.3,6.06,7.99,6.18,11.19,4.05,5.38,2.19,6.18,4.74,5.95,4.39,16.24,7.92,16.4,1.71,0.7,2.59,3.28,3.7
