Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
nov-14,-0.7,8.0,0.84,12.36,-1.39,5.24,3.16,6.36,17.33,8.02
dic-14,-0.33,4.32,-0.78,5.76,-0.77,2.7,2.21,3.09,16.51,-2.44
ene-15,1.26,8.11,3.95,12.11,-0.59,5.12,5.7,4.9,11.73,13.32
feb-15,-3.04,1.59,-4.01,4.41,-2.06,-0.42,-3.75,3.21,9.26,0.69
mar-15,1.04,1.65,1.8,4.53,0.27,-0.42,-6.63,5.32,-1.96,8.07
abr-15,3.74,5.56,2.21,6.28,5.13,4.3,3.88,5.29,4.57,8.59
may-15,-2.15,3.56,-0.53,5.7,-2.57,2.76,-3.18,7.29,3.52,6.79
jun-15,2.17,5.26,4.42,13.21,-0.73,-0.35,-1.38,0.81,6.55,16.38
jul-15,1.94,8.95,-1.85,9.87,4.96,7.77,14.58,2.26,16.28,6.22
ago-15,-0.49,7.07,0.68,9.77,-1.13,4.82,12.35,-1.49,12.98,7.72
sep-15,1.06,9.28,1.76,14.84,0.7,5.63,17.9,-5.16,17.85,11.84
oct-15,-3.45,0.8,0.21,8.7,-6.64,-5.23,-3.99,-6.37,11.33,6.9
nov-15,1.23,2.76,2.04,10.0,0.71,-3.22,5.23,-9.55,15.39,5.02
dic-15,-2.26,0.77,-5.57,4.69,0.89,-1.6,4.37,-6.2,5.08,5.3
ene-16,0.73,0.24,0.66,1.38,0.63,-0.4,7.08,-6.27,11.93,-6.61
feb-16,1.92,5.37,1.6,7.3,1.52,3.24,9.92,-2.08,17.19,0.15
mar-16,-1.59,2.62,-3.33,1.9,0.53,3.51,12.49,-3.9,15.9,-6.49
abr-16,0.08,-1.0,2.05,1.74,-1.91,-3.42,0.68,-7.53,15.52,-8.47
may-16,-1.13,0.02,-2.44,-0.22,0.63,-0.24,10.63,-8.83,7.79,-6.11
jun-16,0.67,-1.44,2.43,-2.12,-1.05,-0.56,7.2,-7.33,3.38,-5.5
jul-16,-1.86,-5.11,-2.18,-2.46,-1.37,-6.56,-2.03,-11.31,-1.47,-3.13
