Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
dic-19,-0.04,-0.28,0.42,-0.4,-0.03,-3.28,5.19,-4.49,-1.18,-8.86,8.76,-13.49,5.15,58.73
ene-20,-1.16,-1.89,-3.43,-4.73,-1.46,-3.87,-3.76,-4.22,1.58,-10.14,1.6,-13.16,0.2,-8.58
feb-20,-0.15,-1.93,-2.8,-4.27,-4.64,-0.8,3.84,-8.15,0.9,-7.7,1.35,-5.65,-2.46,-17.33
mar-20,-0.78,-2.72,-3.16,-3.36,-6.66,10.81,4.62,-11.39,-1.04,-10.41,-10.51,-28.03,-27.09,19.78
abr-20,-2.94,-7.6,-19.38,-18.5,-22.7,-2.9,-15.27,-10.18,-13.11,-14.62,-36.9,-72.4,-61.47,-3.79
may-20,-1.02,-3.23,-3.23,-0.68,-33.14,1.35,-12.65,-22.62,-15.4,-19.4,-29.1,-77.31,-63.16,-12.75
jun-20,-0.91,0.64,0.14,4.31,-27.98,-1.89,-18.26,-17.28,-15.27,-16.42,-16.19,-76.8,-62.14,-15.87
jul-20,-0.54,1.73,6.9,5.44,-25.43,-5.72,-9.98,-15.16,-13.19,-19.27,-8.01,-66.98,-54.8,-18.07
ago-20,-1.11,-0.87,4.33,5.67,-24.94,-7.4,4.17,-7.01,-11.78,-14.73,-1.59,-54.04,-49.95,-10.57
sep-20,1.36,2.13,6.78,1.58,-18.22,-0.43,-2.95,-13.17,-8.59,-18.8,-0.29,-51.82,-38.9,-5.75
oct-20,-0.26,1.66,-0.43,-0.32,-15.82,-4.77,4.08,-9.04,-9.99,-17.94,3.76,-45.85,-39.8,-16.73
nov-20,-0.2,1.75,3.25,0.79,-10.38,0.56,6.87,-13.22,-11.64,-18.17,7.34,-47.75,-34.48,-7.98
dic-20,-0.13,-0.77,1.93,2.48,-10.17,12.76,3.03,-10.09,-6.16,-14.13,5.19,-44.67,-36.81,-14.92
ene-21,0.19,-2.47,-5.46,-5.1,-10.04,-4.23,15.06,-9.52,-8.17,-23.91,5.55,-47.69,-34.68,-19.86
feb-21,-0.2,-2.14,2.41,-3.0,-10.12,8.02,15.07,-6.15,-7.86,-20.73,2.97,-47.95,-31.57,3.21
mar-21,0.39,2.58,1.16,4.3,-6.38,-14.82,8.82,-4.22,3.06,-17.56,12.79,-23.43,-0.24,-9.44
abr-21,-0.48,-2.89,-0.13,0.25,15.38,4.83,38.88,-7.36,9.94,-7.62,58.22,110.55,99.38,-20.65
may-21,-0.45,-0.09,0.13,-0.76,33.68,1.35,35.98,10.96,8.71,-3.53,45.52,173.47,114.2,-23.3
jun-21,0.04,2.2,2.76,1.38,28.22,7.07,40.67,9.53,8.18,-5.38,26.58,170.72,125.85,-6.49
jul-21,-6.05,-5.93,-1.68,-0.66,25.62,4.01,30.25,4.85,-12.03,-6.6,17.42,102.11,87.22,-12.95
ago-21,-3.6,-9.35,-3.65,-0.64,21.81,2.99,25.06,-2.47,-30.82,-7.1,18.25,43.02,69.04,-20.74
sep-21,-2.15,-0.65,0.71,-1.54,14.67,1.86,30.61,5.88,-39.59,-2.71,9.26,46.75,42.5,-38.33
oct-21,-2.25,-1.51,0.85,2.61,14.21,5.33,27.57,-4.35,-40.98,0.17,-0.05,41.42,43.45,-15.34
nov-21,-0.07,-2.24,-0.13,-2.75,10.64,11.75,6.12,-2.18,-39.87,0.33,-5.7,43.49,31.91,-25.53
dic-21,-0.57,0.49,-2.86,-0.4,9.93,-8.31,11.39,3.69,-40.1,-3.04,-9.35,34.45,36.8,-44.31
ene-22,-1.62,2.03,3.37,3.19,7.96,27.69,5.13,-14.58,-48.24,15.39,-8.66,47.27,36.54,7.78
feb-22,0.22,2.43,0.4,2.41,12.29,15.11,1.41,-10.24,-47.03,13.39,-9.96,59.37,40.58,-20.42
mar-22,0.53,0.76,3.83,4.13,12.34,29.39,10.7,-4.59,-50.29,10.13,-4.56,58.2,42.81,-25.11
abr-22,-0.9,0.75,-1.11,-0.48,7.88,25.03,8.44,-3.19,-47.4,6.97,-4.83,30.08,30.18,-0.58
may-22,-0.22,1.58,-0.16,0.66,6.83,26.82,8.79,-2.65,-44.79,9.42,-4.54,26.73,23.22,-1.57
jun-22,0.23,-1.73,0.26,0.23,7.37,21.07,13.3,-6.71,-45.06,11.12,-8.3,24.36,12.49,-13.37
jul-22,0.07,0.6,2.27,-0.33,8.0,21.21,13.39,-3.25,-34.32,17.34,-10.73,37.25,17.08,-17.09
ago-22,-0.54,0.24,0.15,0.07,13.87,27.32,10.03,-2.34,-18.1,12.78,-13.97,24.08,16.4,-11.79
sep-22,0.01,-0.19,-0.21,1.11,4.9,20.92,5.97,-6.18,-11.41,12.62,-14.56,20.47,14.02,12.34
oct-22,0.23,0.71,2.24,1.04,3.41,29.26,11.46,8.73,-6.94,7.71,-6.91,18.99,16.18,-17.16
nov-22,-0.59,0.9,-1.1,-0.85,0.8,16.55,26.61,15.6,-8.28,6.35,-1.52,15.71,13.19,-17.8
dic-22,0.58,1.99,1.12,3.24,3.55,29.8,30.55,3.91,-8.65,6.53,1.92,23.69,11.56,13.05
ene-23,-1.07,0.03,-0.79,-3.4,1.56,8.7,21.8,19.37,8.85,8.56,1.4,26.56,6.22,-1.47
feb-23,0.0,-0.31,1.27,0.69,2.51,11.67,22.47,14.19,6.38,5.27,5.16,7.37,0.77,17.44
mar-23,0.03,0.31,0.11,-0.16,-0.76,9.7,17.63,9.52,2.49,11.6,5.69,4.09,-8.07,13.26
abr-23,0.28,0.98,-0.53,-0.03,0.65,9.49,18.55,4.43,5.39,9.73,3.6,16.05,-3.59,2.16
may-23,0.58,0.57,0.93,1.2,2.92,8.74,19.17,8.85,3.41,7.84,-0.79,16.83,1.58,5.26
jun-23,-0.43,1.27,-0.13,0.03,-0.67,8.34,14.22,14.54,7.73,6.24,4.67,18.88,1.7,-6.68
jul-23,0.85,0.48,0.64,-0.44,-4.17,10.8,10.42,7.29,8.8,3.82,2.92,6.8,-0.4,6.74
ago-23,0.26,0.37,0.15,0.34,-7.2,8.23,7.05,14.1,10.15,6.51,3.54,7.62,-0.62,7.49
sep-23,0.02,0.62,1.31,1.71,-1.86,8.89,12.17,11.67,14.26,4.1,8.08,7.68,0.74,2.11
oct-23,-0.22,0.19,-1.56,-2.94,-3.2,2.66,9.07,4.46,13.01,6.59,4.98,6.8,-5.29,0.09
nov-23,-0.0,1.14,0.96,0.59,-0.78,4.57,5.64,-0.07,12.82,12.5,0.23,7.41,-1.55,9.99
dic-23,0.51,2.81,1.02,1.04,-2.03,1.63,3.74,3.59,9.25,17.12,2.55,8.19,-0.04,2.89
ene-24,0.79,0.76,0.33,-0.06,1.67,4.88,8.8,29.17,-0.82,5.85,4.04,5.38,2.14,5.98
feb-24,-0.33,1.9,0.64,2.88,-3.07,4.19,11.24,25.43,0.65,6.87,3.93,35.36,1.83,-1.16
mar-24,-0.01,-0.19,0.21,-1.31,-0.23,4.91,11.11,23.29,0.91,0.73,2.3,13.01,0.87,3.86
abr-24,0.04,-0.57,0.37,-0.55,5.11,2.02,11.55,30.49,-0.75,5.14,2.65,16.86,0.76,3.87
may-24,-0.12,1.45,-0.28,0.4,0.79,1.47,9.98,24.95,-0.71,6.34,7.02,11.56,-4.45,4.28
jun-24,-0.08,0.03,0.63,-0.81,4.36,3.78,7.97,18.26,-1.71,7.58,1.62,8.87,-3.26,13.68
jul-24,-0.11,-0.48,-0.56,0.49,6.34,4.34,11.73,17.09,-2.1,7.61,2.02,2.33,-5.09,7.38
ago-24,0.18,0.7,0.97,0.74,5.95,3.11,14.42,11.03,-2.57,4.38,3.94,11.11,-4.11,7.5
sep-24,-0.0,1.13,0.2,0.53,5.7,1.55,11.1,16.48,-2.17,6.68,0.93,9.75,-4.96,1.12
oct-24,0.02,0.74,0.63,0.85,8.53,2.65,9.06,16.05,-2.95,7.13,2.76,8.52,-2.52,25.93
nov-24,0.34,1.42,-0.32,0.17,9.84,2.74,10.96,14.53,-3.47,1.45,7.49,11.87,-4.42,-0.25
dic-24,0.18,-1.47,0.21,-3.48,7.68,5.82,10.17,11.08,-1.88,-1.26,4.41,3.16,-4.82,-1.11
ene-25,0.27,1.35,1.94,5.62,7.14,5.73,9.88,2.07,11.09,1.17,5.3,4.86,-3.76,1.29
feb-25,0.16,0.06,0.23,0.83,8.59,3.56,7.26,5.81,10.55,3.46,3.78,-6.83,-3.41,-3.6
