Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
mar-06,60.1,80.85,41.94,6.52,3.29,3.19,3.47,58.88,96.71,9.1,62.1,4.23,5.5,47.55
abr-06,60.13,80.9,41.9,6.28,3.41,3.12,3.9,59.16,96.59,9.22,61.55,4.54,5.08,47.72
may-06,60.13,80.59,42.21,6.27,3.37,3.13,3.79,58.92,96.63,8.96,62.05,4.23,5.46,47.87
jun-06,59.36,80.71,40.88,5.88,3.56,3.36,3.8,58.72,96.44,8.93,61.75,4.77,4.87,47.61
jul-06,60.49,80.63,43.16,8.07,3.68,3.31,4.43,58.14,96.32,9.81,63.07,4.84,7.7,47.38
ago-06,60.4,80.66,42.5,7.84,3.65,3.49,3.83,57.86,96.35,9.2,61.86,4.49,6.36,45.48
sep-06,59.96,80.68,41.97,8.05,3.65,3.53,3.93,58.54,96.35,10.11,62.47,4.69,7.64,47.81
oct-06,60.48,80.66,42.75,7.52,3.72,3.34,4.19,57.39,96.28,10.33,62.42,4.66,6.69,45.75
nov-06,60.34,81.01,42.46,6.64,3.8,3.62,4.17,57.82,96.2,9.49,62.06,4.93,6.48,45.46
dic-06,59.78,80.19,41.9,7.5,3.84,3.61,4.28,57.96,96.16,9.18,62.24,4.77,6.79,46.91
ene-07,60.22,80.25,42.7,7.66,3.73,3.48,4.09,57.29,96.27,9.9,62.64,4.83,7.16,46.15
feb-07,60.0,80.22,42.07,7.68,3.88,3.58,4.47,57.73,96.12,10.13,61.8,4.9,6.49,46.19
mar-07,60.04,80.66,42.15,8.12,3.86,3.59,4.31,57.8,96.14,10.58,62.47,5.15,6.89,46.78
abr-07,59.95,80.19,42.17,7.28,3.75,3.64,3.96,57.38,96.25,10.03,62.02,4.78,6.61,45.67
may-07,60.11,80.55,42.02,6.78,3.61,3.42,3.93,58.04,96.39,9.3,61.88,4.72,6.13,46.21
jun-07,59.84,80.27,42.18,6.83,3.54,3.26,3.89,58.12,96.46,9.42,61.91,4.71,6.09,46.95
jul-07,60.02,80.21,42.59,7.05,3.5,3.38,3.81,57.22,96.5,9.86,62.26,4.34,6.22,45.96
ago-07,59.66,79.85,41.99,6.88,3.6,3.31,3.98,58.02,96.4,9.38,60.62,4.49,6.13,46.29
sep-07,59.35,79.66,41.8,6.49,3.52,3.24,4.0,57.61,96.48,9.59,61.54,4.8,5.86,46.38
oct-07,60.53,80.34,43.13,7.59,3.68,3.5,3.85,58.2,96.32,11.19,62.41,4.84,6.72,46.64
nov-07,60.6,81.09,42.96,7.44,3.51,3.15,4.15,58.12,96.49,10.0,62.53,4.58,6.57,47.36
dic-07,61.07,80.81,43.82,7.01,3.66,3.49,4.01,57.8,96.34,9.7,62.33,4.78,6.4,45.56
